鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,floor,parking,parking_price
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路31~60號,27.88,住,,,1070916,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,187.57999999999998,3,2,2,有,有,10350000,59333,坡道平面,40.95,1650000,,RPVNMLKMJHPFFHH09CA,14,1,2429686.35
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路61~90號,21.82,住,,,1080429,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,155.24,3,2,2,有,有,8010000,57398,坡道平面,40.95,1450000,,RPXNMLKMJHPFFHH66CA,14,1,2350448.1
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路61~90號,25.95,住,,,1080601,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,173.75,3,2,2,有,有,10520000,66486,坡道平面,37.33,1450000,,RPOOMLKMJHPFFHH48CA,14,1,2481922.38
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路31~60號,27.88,住,,,1070922,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,188.98000000000002,3,2,2,有,有,10500000,59678,坡道平面,42.36,1750000,,RPPOMLKMJHPFFHH58CA,14,1,2527960.08
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路31~60號,27.88,住,,,1071216,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,183.95,3,2,2,有,有,9500000,54904,坡道平面,37.33,1450000,,RPQOMLKMJHPFFHH68CA,14,1,2049566.3199999998
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路31~60號,27.88,住,,,1080623,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,183.95,3,2,2,有,有,10320000,60497,坡道平面,37.33,1450000,,RPROMLKMJHPFFHH78CA,14,1,2258353.01
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路61~90號,21.82,住,,,1071118,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,153.49,3,2,2,有,有,8280000,58010,坡道平面,39.2,1650000,,RPSOMLKMJHPFFHH88CA,14,1,2273992.0
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路61~90號,21.82,住,,,1080706,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,151.61,3,2,2,有,有,8600000,61253,坡道平面,37.33,1600000,,RPTOMLKMJHPFFHH98CA,14,1,2286574.4899999998
龜山區,房地(土地+建物),桃園市龜山區光榮路61~90號,24.46,住,,,1081019,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,130.53,3,2,2,有,有,8050000,61672,,0.0,0,,RPUOMLKMJHPFFHH09CA,14,0,0.0
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路61~90號,24.85,住,,,1071209,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,169.70999999999998,3,2,2,有,有,8580000,54249,坡道平面,39.2,1500000,,RPVOMLKMJHPFFHH56CA,14,1,2126560.8000000003
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路61~90號,24.81,住,,,1080622,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,166.22,3,2,2,有,有,9580000,61518,坡道平面,35.69,1550000,,RPWOMLKMJHPFFHH66CA,14,1,2195577.42
龜山區,房地(土地+建物)+車位,桃園市龜山區光榮路61~90號,21.82,住,,,1081206,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,153.49,3,2,2,有,有,8780000,61948,坡道平面,39.2,1700000,,RPPPMLKMJHPFFHH68CA,14,1,2428361.6
桃園區,房地(土地+建物)+車位,桃園市桃園區民有十二街1~30號,29.85,住,,,1081222,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030520,230.85000000000002,3,2,2,有,有,11550000,64728,坡道平面,92.58,2600000,,RPOOMLQJKHPFFAH28DA,14,2,5992518.24
桃園區,房地(土地+建物)+車位,桃園市桃園區成功路二段91~120號,14.89,住,,,1081224,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830930,149.88,3,2,2,有,有,6000000,40032,升降平面,0.0,0,,RPSOMLOJKHPFFAH58EA,13,1,0.0
桃園區,房地(土地+建物)+車位,桃園市桃園區民族路241~270號,34.39,商,,,1081209,土地1建物1車位2,十一層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970901,376.32,4,3,3,有,有,25000000,66431,坡道平面,53.38,0,,RPQNMLNJLHPFFAH28EA,25,2,3546086.7800000003
八德區,房地(土地+建物)+車位,桃園市八德區廣興一路1~30號,21.19,商,,,1081207,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030120,188.07,4,2,3,有,有,9600000,51483,坡道平面,24.91,1200000,,RPWNMLNJKHPFFFH56DA,15,1,1282441.53
八德區,房地(土地+建物)+車位,桃園市八德區中華路31~60號,9.86,住,,,1081221,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970425,94.06,2,1,1,有,有,4480000,47629,坡道平面,23.28,0,,RPSOMLNJKHPFFFH88DA,15,1,1108803.12
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路336巷61~90號,23.8,住,,,1081208,土地1建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951215,139.53,3,2,2,有,有,9600000,69404,坡道平面,19.94,1300000,含增建或未登記建物。,RPRPMLOJKHPFFAH48DA,13,1,1383915.76
平鎮區,房地(土地+建物)+車位,桃園市平鎮區新德街181~210號,17.47,商,,,1081210,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021201,173.81,4,2,2,有,有,9600000,55233,坡道平面,0.0,0,,RPPNMLRKKHPFFGH98CA,15,1,0.0
